ime,država,zvrst,leto,status
Death Angel,United States,Thrash,1982,1
Vanishing Point,Australia,"Melodic,Progressive",1995,1
Mercyful Fate,Denmark,Heavy,1981,2
Dissection,Sweden,"Melodic,Death,Black",1989,3
Bathory,Sweden,"Viking,Thrash,Black",1983,3
Hollenthon,Austria,"Melodic,Symphonic,Death,Folk",1999,4
Cannibal Corpse,United States,Death,1988,1
Psycroptic,Australia,"Technical,Death",1999,1
Omnium Gatherum,Australia,"Grindcore,Death",1997,5
Fear Factory,United States,"Death,Industrial,Groove",1990,1
Stormtroopers of Death,United States,"Thrash,Hardcore,Crossover",1985,3
Paradise Lost,United Kingdom,"Death,Doom,Gothic,Rock",1988,1
Sonata Arctica,Finland,Power,1999,1
Savatage,United States,"Heavy,Progressive,Power,Rock",1983,1
Immolation,United States,Death,1988,1
Ozzy Osbourne,United Kingdom,Heavy,1980,1
Pegazus,Australia,"Heavy,Power",1993,1
Krisiun,Brazil,Death,1990,1
Accept,Germany,Heavy,1976,1
Disincarnate,United States,Death,1992,1
Hypnosia,Sweden,Thrash,1995,3
HammerFall,Sweden,"Heavy,Power",1993,1
Taetre,Sweden,"Melodic,Thrash,Death",1993,3
MotÃ¶rhead,United Kingdom,"Heavy,Hard,Rock",1975,3
Spawn of Possession,Sweden,"Technical,Death",1997,1
King's-Evil,Japan,Thrash,1989,1
Severed Savior,United States,"Technical,Death,Brutal",1999,1
Necrophagist,Germany,"Technical,Death",1992,4
ÐÐ°ÑÑÐµÑ,Russia,Thrash,1987,1
Aura Noir,Norway,"Thrash,Black",1993,1
Visceral Bleeding,Sweden,"Technical,Death,Brutal",1999,1
Iniquity,Denmark,"Technical,Death",1989,1
Gorgasm,United States,"Death,Brutal",1994,1
Aborted,Belgium,Death,1995,1
Reprobation,United States,"Death,Brutal",1993,3
Angel Dust,Germany,"Thrash,Melodic,Speed,Power",1984,1
Stratovarius,Finland,"Melodic,Power",1985,1
Mortal Decay,United States,Death,1991,1
Witchery,Sweden,"Thrash,Speed,Blackened",1997,1
Napalm Death,United Kingdom,"Hardcore,Death,Punk,Grindcore",1981,1
Gamma Ray,Germany,"Speed,Power",1989,1
Incestuous,United States,"Death,Brutal",1998,5
DestrÃ¶yer 666,Australia,"Thrash,Black",1994,1
Ablaze My Sorrow,Sweden,"Melodic,Death",1993,1
Opprobrium,United States,"Thrash,Death",1999,1
