ime,država,zvrst,leto,status
Cryptophobism,Bulgaria,"Death,Doom",1991,3
Hostility,United States,"Thrash,Death",1989,5
Infect,United States,Death,1992,3
Coma,United States,Thrash,1989,3
Invocation,Austria,"Death,Doom",1990,3
Dr. Butcher,United Kingdom,"Thrash,Death,Speed",1990,3
Lunacy,Netherlands,Thrash,1986,3
Red Nails,Canada,Thrash,1991,3
Brutal Enemy,United States,Death,1990,3
Svartskog,Russia,Black,2001,1
Smash,Finland,Heavy,1999,1
Xenophobe,Hungary,,2004,3
Bloodawn,United States,"Death,Black",2005,1
Nethescerial,Greece,Black,2002,1
Massacration,Brazil,Heavy,2004,3
MAG,Canada,Progressive,2003,1
Mad Slaughter,Germany,Thrash,1990,3
BeprasmybÄ,Lithuania,"Funeral,Drone,Doom",2005,1
Madhouse,Germany,Thrash,1987,3
Gothician,Spain,Black,1991,1
Plattform,Germany,"Heavy,Hard,Power,Progressive,Rock",1980,5
Flyin' Freak,Spain,Power,2002,4
Sinclined,Finland,"Melodic,Death",2004,1
Nabari,Spain,Heavy,1999,3
Craniology,Greece,Death,1998,4
Antisma,United States,Death,1991,3
Bleeding Art,Poland,"Death,Black",nan,3
Denial,Spain,"Melodic,Death",2000,1
Inferno,France,Black,2003,5
Desulphurize,Greece,"Death,Doom",1993,5
Tandus,Malaysia,"Thrash,Death",1991,3
Exhibit A,United States,Thrash,1992,5
Gehenna,Poland,"Death,Doom",1991,3
Ð¡ÐµÐ»ÐµÑÑÐ°,Russia,"Doom,Gothic",1996,2
Incarnate,Netherlands,"Thrash,Hardcore,Death",2003,1
DÃ¼nedain,Spain,Power,1996,1
Redada,Spain,Heavy,1990,3
Sado Massakist,United States,Death,1991,3
Matrikhore,United States,Death,nan,3
Ebullition,United States,Death,1990,1
Incarnation,Israel,Death,1991,3
Klingsor,United States,"Depressive,Black",2004,3
Mastema,Sweden,Black,1992,3
Priests of Broken Words,Germany,"Thrash,Heavy,Hard,Rock",2003,3
Lagash,Spain,Heavy,1994,1
Zuldar,Spain,"Melodic,Death",2001,1
Luther,Spain,"Heavy,Thrash",1993,3
Zyklon-B,United States,Death,1987,3
Fire Throne,Poland,Black,2002,3
Taliesin,United States,Black,2005,1
Convulsion,Sweden,Death,1995,3
White Hunter,United Kingdom,"Black,Ambient",2004,1
Nightside Glance,Belarus,"Symphonic,Black",2003,1
Vials of Hate,Greece,Death,2004,1
Satus,United States,Black,2004,3
Ossuarist,United States,"Grindcore,Death",1990,3
Psychasthenia,Canada,Death,nan,3
Gehenna,United States,Death,1991,3
Immorally Demonic,United States,Death,1990,3
Afterlife?,Sweden,Death,1991,3
Wyverna,Russia,Death,1999,4
The Conquering,United States,"Viking,Black,Folk",1998,1
In Nomine Belialis,Brazil,Black,2000,1
One Orphan More,Finland,Melodic,2004,3
Torquemada,Spain,"Heavy,Thrash",nan,4
Luis Massot,Spain,Heavy,nan,3
Purusam,Sweden,"Heavy,Hardcore",1994,3
Cyanid,Denmark,Death,2005,3
Merkabah,Canada,Power,2000,1
Slaughterhaus,United States,"Thrash,Death",2005,4
Iratus Dominus,Belarus,"Death,Black",2002,5
Metal Detektor,Italy,Heavy,2000,1
Dark Fantasy,Spain,Progressive,2002,3
Segabathor,Spain,Heavy,1998,3
Badoc,Germany,Death,2004,1
Roach,Sweden,"Metalcore,Death,Groove",nan,2
Lucifugus,Germany,"Progressive,Extreme",nan,3
Evil Blood,Croatia,Speed,1982,1
Charme,Italy,"Gothic,Progressive",2003,1
Scenes,Germany,Progressive,1995,4
Atrozfear,Chile,Thrash,1995,1
Trenchhead,United Kingdom,"Death,Brutal",2003,4
Bestialized,Colombia,Black,2004,1
Delirium Projekt,Chile,"Doom,Gothic",2003,1
Imperium,Chile,"Technical,Thrash",1999,2
Via Serpentis,Greece,Black,2000,3
Blackwing,United States,Black,2003,1
Deities,United States,"Thrash,Death",1989,3
Kastrophy,United States,Thrash,1988,3
Adrenalin,Canada,Thrash,nan,3
Bartolomeus,Finland,Thrash,nan,3
Ecnephias,Italy,"Death,Gothic,Doom,Blackened",1996,1
Taurine,Hungary,"Sludge,Groove",2003,3
Chronic Decay,United States,Thrash,nan,3
Sickness,United States,"Death,Doom",nan,3
Chronic Cremation,Denmark,"Thrash,Death",nan,3
Burnt Colonels,Canada,Thrash,1993,3
Morgenstern,Mexico,"Heavy,Power",2004,3
Fast Eddie Clarke,United Kingdom,"Heavy,Hard,Rock",1989,1
Cavernoma,Spain,"Thrash,Death",2004,4
Degradeath,Colombia,Death,1990,3
The Name,Spain,"Melodic,Heavy",2003,1
R'lyeh,Mexico,Death,1991,1
Hellnomorf,Mexico,Death,1991,3
Witness,Mexico,Death,1991,3
Lethal Compulsion,United States,Death,1992,3
The Howl,Spain,Heavy,2003,1
Xenomorph,United States,Death,1990,3
Massacre,Costa Rica,Death,1989,1
Obscene,Sweden,"Death,Doom",1990,3
The Eternal,Austria,"Death,Doom",1990,3
Ritual,United States,"Thrash,Groove",nan,3
Corrupted Innocence,United States,Thrash,1989,3
Low-Down,Poland,"Death,Brutal",2003,3
Intribe,Brazil,"Thrash,Death",1998,4
Closed Eye Visions,Poland,Death,2001,2
Guardians of Dreams,Spain,Heavy,1990,3
Amniotic Count,Italy,"Death,Doom",2001,4
The Reaper,Malaysia,"Thrash,Crossover",2004,1
Mortos,Brazil,Death,2001,1
Forest Poetry,Brazil,Black,2004,3
Domestic Waste,Poland,Death,2003,1
Evil Entourage,Mexico,Death,2004,1
Art of Nox,Germany,"Melodic,Metalcore,Death,Doom",2004,3
Bloody Panda,United States,"Sludge,Drone,Doom",2003,1
Vigdis,Italy,"Melodic,Epic,Symphonic",1998,3
Alienacja,Poland,"Grindcore,Death,Crust,Deathcore",1997,1
Swarmlord,United States,Black,2003,5
Crimen,Argentina,"Thrash,Speed",2004,1
Exkalibur,Spain,"Heavy,Power",1997,5
Inertial Mass,Spain,Death,1990,3
Paraplegic,Norway,Thrash,1989,3
Stentor,United States,"Thrash,Death",nan,3
SheratÃ¡n,Spain,Heavy,2002,1
Necrolatry,United States,"Grindcore,Death",1992,5
Exhumace,Czech Republic,Death,1989,3
Monarchie Infernale,Japan,Death,1989,3
Afterimage,United States,"Metalcore,Death",2003,1
Carbonized 16 Year Old Victim,Canada,"Grindcore,Death",2004,1
Caustic Velocity,United States,Thrash,1991,1
Utburd,Russia,Black,1996,3
Monoceros,Poland,"Thrash,Death",2003,3
Profane,United States,"Thrash,Groove,Crossover",1993,3
Blood Clot,United States,Death,nan,3
Cirrhosis,United States,"Thrash,Death",nan,3
Born from Fear,United States,"Death,Black",1992,5
Carcinogen,United States,"Grindcore,Death",1990,3
Cyprian,Canada,Power,2003,1
Dreaded Infection,United States,Death,1990,3
Immortality,United States,Death,nan,3
Tremor,Brazil,"Thrash,Death",2001,1
Violent Obsession,United States,Progressive,1990,5
Panaceum,Sweden,Power,2003,1
Xergath,Germany,Black,2001,1
HÃ«ll BÃ«ll,Mexico,"Thrash,Black",1998,1
Andere,Chile,Progressive,2004,3
Conscious Alarm,United States,"Thrash,Speed",nan,3
Sintegrity,United States,Death,nan,3
Adnauseam,United States,Death,nan,3
Clot,United States,"Death,Brutal",1990,1
Contamin Mortalis,United States,"Thrash,Death",1990,5
Demonic Domain,United States,"Grindcore,Death",2004,4
Frozen Soil,Finland,"Melodic,Death",1993,3
August FÃ¶rster Reservation,Hungary,"Progressive,Rock",1989,3
Macbeth,Hungary,Heavy,nan,5
Arsenal,Hungary,Thrash,1988,3
Move Under Disorder,Portugal,"Thrash,Heavy",1994,3
Cerebral Corrosion,Spain,Death,nan,3
Ravnesort,Denmark,Black,2003,3
Ignis Fatuus,Poland,Black,2001,1
Final Judgement,United States,"Thrash,Death",nan,3
Harms Way,United States,"Thrash,Groove",1989,3
Gentlemen Death,United States,"Thrash,Progressive",1986,1
Decrepit,United States,Death,nan,3
The Enemy,Italy,Thrash,1990,3
Evil Darkness,Colombia,"Grindcore,Death",2005,1
Deathlike Silence,Finland,"Melodic,Heavy,Hard,Rock",2003,2
Tolerance,Canada,Thrash,1992,3
Mystere de Notre Dame,Italy,Progressive,1993,3
DÃ¸dz,Sweden,Thrash,2000,3
Egraine,Spain,"Melodic,Death,Folk,Power",2002,1
Metastasis,Venezuela,Death,2001,1
Edge of Chaos,United States,"Heavy,Shred",nan,4
Funeral,United States,Death,1992,3
Heresy,United States,"Thrash,Speed",nan,3
Marked for Pain,United States,Death,1993,3
Morbid Corpses,United States,"Thrash,Death",1987,3
Eternal Orchid,Argentina,"Symphonic,Black",2003,3
Spectrum,Ecuador,Heavy,1981,1
Necrology,United States,"Thrash,Death",1991,3
Wanderer,Ukraine,"Black,Atmospheric",2003,1
Crematorial Death,United States,Death,nan,3
Decaying Corpse,United States,Death,nan,3
Ritual Torment,United States,Death,nan,5
Punisher,United States,Thrash,1990,3
Of the Archaengel,Brazil,"Melodic,Dark",2003,3
Burning Empire,Finland,Thrash,2003,3
Orctod,Germany,Black,1997,1
Savan,Russia,Heavy,1992,1
Dead Centre,United States,Death,2000,1
Creeping,New Zealand,"Doom,Black",2004,1
Decrial,Denmark,Death,1992,3
Svartthron,Lithuania,"Black,Ambient",2005,1
Stormage,Germany,Heavy,2003,1
Son of Dog,United States,"Thrash,Death,Crossover",1992,3
Scorcht Earth,United States,Thrash,nan,1
Themalefik,Brazil,"Death,Black",1993,1
Encounter,Turkey,"Grindcore,Death",nan,3
Legion,Canada,Death,1993,3
VS777,Portugal,"Death,Industrial,Black",2000,1
Dying Fields,Hungary,"Doom,Gothic",1996,3
Replica,Spain,"Thrash,Groove",1995,1
Eternal Winter,United States,"Epic,Power",2002,1
Flesh Hammer,United Kingdom,"Thrash,Death",2005,4
Creozoth,Sweden,"Heavy,Power",2005,3
Warburg,Germany,Heavy,2004,1
Notr,Turkey,Death,1999,4
Slakt,Sweden,Death,nan,4
GÃ¼denlÃ¤wd,Brazil,"Heavy,Stoner",2003,1
Tricifix,Ireland,"Thrash,Death",1990,3
Nofuck,Italy,"Thrash,Death",1997,1
Aryavarta,Russia,Symphonic,1999,1
Signum Pugnae,Germany,"Death,Black",1999,3
Timeless Necrotears,Spain,"Doom,Black",1993,1
Northern Lights,France,"Death,Doom",1994,3
Alpha Scorpii,Brazil,"Melodic,Death",2001,3
Blair,Brazil,Heavy,2002,1
Gravestone,Italy,"Death,Progressive",1991,1
Nocturnal Soul,United States,Death,1989,3
Harkanun,Brazil,"Heavy,Thrash",2001,1
Hidden Force,Brazil,Heavy,nan,4
Hot Stove,United States,Death,1993,5
Inversa Visio,Brazil,Heavy,2003,3
Attitude Musical Project,Sweden,"Stoner,Southern,Rock",2003,1
Blood Oath,United States,Death,2003,3
Karmage,Brazil,Death,2004,4
Dream Healer,Brazil,Power,1997,1
NebÃ³ria,Brazil,Thrash,1997,1
Violent Impact,Brazil,"Thrash,Death",2003,5
Spithead,Belgium,"Thrash,Death",1987,3
Exiled,Belgium,"Thrash,Death",nan,3
Aichmophoba,Germany,Black,2003,3
Embellish,Spain,Gothic,2002,1
Kadavrik,Germany,"Melodic,Death",2003,1
The Eternal Suffering,Greece,"Death,Black",2001,1
Damnation,Greece,"Thrash,Death",2000,5
Disembodied,Spain,Death,1998,3
Adremelech,United Kingdom,"Thrash,Death",2005,3
Ekodium,United Kingdom,Groove,2002,3
Desecration,Germany,Black,1993,2
Abattoir Pigs,United Kingdom,Death,2004,3
Ragedate,Sweden,Thrash,2002,3
Crackerjack Tattoo,United States,"Hard,Groove,Rock",2002,3
Laceration,United States,Death,1990,3
Lapida,Philippines,"Death,Brutal",2002,1
Funebral,Philippines,Black,2000,3
Captured Dreams,Germany,Gothic,2003,1
Uriel's Wings,Germany,"Heavy,Metalcore,Death,Melodic",2002,1
Atroth,Hungary,Black,1994,3
Vellozet,Germany,"Thrash,Death",2001,1
Mayhemic Destruction,Malaysia,"Death,Brutal",1993,4
Angrbada,Germany,"Viking,Pagan",2002,4
Haemophagus,Italy,"Grindcore,Death",2004,1
Conqueror,Malaysia,Black,1994,3
Wretched,Germany,Heavy,1998,1
Vision Scope,Germany,"Progressive,Rock",2003,1
Hellimunan,Malaysia,"Depressive,Doom,Gothic",1999,3
Solace,Germany,"Melodic,Death",2004,3
Shrapnel,Portugal,"Hardcore,Grindcore,Crossover",1998,3
Ulcer,United States,Death,1995,1
Hindvir,France,"Black,Pagan",2003,3
Effluvia,United States,"Goregrind,Death",1992,1
Scab Maggot,United States,"Goregrind,Death",1995,3
Unithia,Germany,"Melodic,Death",2005,3
Beyond Eternity,Germany,Heavy,2003,1
Phantom Limb,United States,Death,nan,3
Todhelm,France,"Melodic,Dark,Black,Ambient",2004,3
Nausea,United States,"Grindcore,Death",1987,1
Astoroth,United States,"Thrash,Power,Progressive",1987,3
Untimely Death,Finland,Thrash,nan,3
Malignant Epitaph,Germany,Death,nan,3
Morthra,Netherlands,Death,1990,3
Ãbermensch,United States,"Thrash,Black",2005,1
Nebelmythen,Germany,Black,2003,1
Diabolic Vomit,Netherlands,Death,1988,3
Stygian Shore,Germany,"Dark,Progressive",2000,1
Ankara,Finland,Heavy,2002,5
Atropin,Germany,"Thrash,Death",2004,3
Soniminos,United States,"Death,Black",2002,1
Lord of Mushrooms,France,Progressive,1999,1
Echoes of Silence,United States,"Symphonic,Black",1999,5
Blackout,United Kingdom,"Heavy,Thrash",2004,3
Nine-Iron,United States,Death,2000,4
Eistroll,Switzerland,Black,2003,3
Organ,United States,"Thrash,Grindcore",2001,1
EdÃ©n,Spain,Power,2000,2
Hakenkreuz Nocturna,Italy,Black,2006,3
Ground of Ruin,Ireland,"Thrash,Death",2003,3
PreTrash,Germany,Thrash,2002,3
Aborted Fetus,Russia,"Death,Brutal",2000,1
Amethista,Italy,"Symphonic,Black",2004,1
Hellgoat,Singapore,Black,2005,4
Slave Cadaver,New Zealand,"Grindcore,Death",2003,1
Karranka,Brazil,Thrash,nan,1
Lifetimes,Brazil,Thrash,1998,1
Red Pain,Brazil,"Thrash,Hardcore,Death",2004,1
El Fuego,Brazil,"Grindcore,Death",2004,5
Diabolical Torture,Brazil,Black,2004,3
ÐÐ°Ð±ÑÑÑÐµ Ð¢Ð²ÐµÑÐ´ÑÐ½Ð¸ ÐÑÐ´Ð¾Ð²,Russia,"Black,Pagan",1998,3
Grinning Shadows,Italy,"Black,Gothic",2003,1
Luguber Tomb,Belgium,"Death,Doom",nan,3
Weidervereihegung,Greece,Black,nan,1
Hateblasted,Italy,Death,1992,3
Midnight Dream,Poland,Heavy,nan,3
Mekhanix,France,Thrash,1988,3
Night Mistress,Poland,"Heavy,Power",2003,1
Infernal Oak,United States,"Black,Atmospheric",1993,3
...in Her Lie,France,"Doom,Gothic",2002,3
Morbus Kronn,Germany,"Melodic,Thrash,Black",2004,1
Ominous Silence,Germany,"Doom,Gothic",2003,3
Convulsion-A.T.,Spain,Thrash,1997,3
Putredine,Italy,"Grindcore,Death",1997,3
Secret Dimension,Germany,Death,nan,4
Namelezz Projekt,Brazil,Black,2004,3
Tenebrosa EscuridÃ£o,Brazil,Black,1999,1
Aryan Honour,Sweden,Black,1999,1
Dawnrider,Portugal,Doom,2004,1
Hopelessness,Spain,"Melodic,Death",2001,3
Ibridoma,Italy,"Heavy,Power",2001,1
Bleeding Fist,Slovenia,"Thrash,Black",2004,1
ÐÑÑÑÐ²ÑÐµ ÐÑÑÐ¸,Kazakhstan,"Death,Black",2002,3
Legion of the Damned,Netherlands,"Thrash,Death",2005,1
Amenazha,Spain,Heavy,2000,1
Chalice,Belgium,"Thrash,Death",1998,1
Jekyll,New Zealand,Thrash,2003,4
BoneFleshDolls,Finland,"Thrash,Death,Experimental",2000,1
Devilish Impressions,Poland,"Death,Symphonic,Black",2000,1
Svitogor,Croatia,Black,nan,1
Amsvartnit,Italy,"Symphonic,Gothic",2001,2
Rough Honor,United States,"Heavy,Power",1986,3
Terror,United States,Speed,1983,3
Skourge,United States,"Grindcore,Death",nan,3
Shitlust,Poland,"Death,Brutal",2004,3
Death Rattle,Russia,"Thrash,Death,Progressive",2003,1
Frozen Winds,Sweden,Black,2005,1
Capela das Almas,Portugal,Gothic,1989,3
Heretic,United Kingdom,Thrash,2001,1
Silentium Noctis,Italy,"Melodic,Black",nan,1
Majeste Simphonia,Greece,"Black,Gothic",2005,3
Exsanguis,Switzerland,"Doom,Black",1999,1
Flatline,Ireland,Thrash,2000,1
Sporadic Slaughter,United Kingdom,"Thrash,Death",2004,5
Disgrace,Japan,Thrash,nan,3
Ancient Season,Switzerland,Progressive,2002,4
Postmortem,Spain,"Thrash,Death",1991,5
Asfixia,Spain,Thrash,1993,3
Aquincum,Hungary,Thrash,1994,1
Plastilinovy Jinn,Kazakhstan,Heavy,1997,1
Argon,Finland,"Melodic,Heavy,Progressive",1998,1
Abyz,Germany,Death,1990,3
Trash Vomit,Brazil,"Grindcore,Death",1990,3
Undivine,Spain,"Death,Black",1993,3
Locomotive Death,Sweden,Heavy,2001,3
Manitou,Netherlands,"Doom,Black",1993,3
Rot,United States,Death,1988,3
Nopresion,Spain,"Thrash,Death",1991,3
Black Blood,Spain,Power,2001,3
Graveyard Shift,Finland,"Melodic,Death",2005,3
Kuturlat,Spain,Black,2004,1
La Rumeur des ChaÃ®nes,France,"Melodic,Black",2001,4
Rotting Flesh,Mexico,"Grindcore,Death",2005,1
Rectum,Finland,"Grindcore,Death",nan,3
Crimson Lotus,Finland,Progressive,1997,1
Pervertico,Finland,"Melodic,Death",2002,4
The Serpent Sun,Finland,Death,2000,1
Dead Memories,Germany,Death,2003,3
Jormgrun,Germany,Black,nan,1
Morphyn,Germany,"Heavy,Thrash,Hardcore",2000,1
Ravendusk,Hungary,"Melodic,Black",1998,3
Kharon,Hungary,Heavy,nan,3
Vilitas,France,Black,nan,3
Khronn Mutilatum,Germany,Black,2004,1
Nortavlaggh.377,Singapore,Black,2004,1
Dawn of Destruction,Germany,Death,2001,3
Korax,Spain,"Thrash,Death",2002,3
Rosy Vista,Germany,"Heavy,Hard,Rock",nan,3
Crusher Force,Brazil,Thrash,2001,1
Entrapment,United States,Death,1990,3
Cremation,Sweden,Death,nan,3
Sipher,Finland,"Alternative,Industrial,Gothic",2001,4
Forakt,Norway,Black,2003,3
Drifason,United States,Black,2005,2
Akma,Finland,"Melodic,Death",2001,1
Memorium,Sweden,"Doom,Gothic",1992,3
Dvina,United States,Black,2005,1
Darkness,Germany,Thrash,1985,5
Sanctuary,Germany,Heavy,1985,3
Koroner,Germany,Thrash,1984,5
Fenris,Germany,"Power,Progressive",nan,3
Necropsy,Greece,Death,1990,3
The Dust Connection,Netherlands,Progressive,2003,1
Motorized,Paraguay,"Technical,Thrash,Death",2004,1
Death Eternal,Greece,Black,2005,3
Cenobite,Hungary,"Death,Doom",2001,1
Accursed,United States,"Technical,Death,Brutal",1988,3
In Memory,Italy,"Melodic,Death,Progressive",1999,1
This Solemn Vow,United States,"Thrash,Metalcore",2004,3
Sewage,Hungary,Thrash,1989,3
Obliteration,Germany,"Grindcore,Death",1995,1
Godlam,Hungary,"Progressive,Rock",2001,3
Dark Blade,Hungary,Heavy,1995,3
Pulverizing,Brazil,"Death,Brutal",2004,1
Foursection,Germany,"Thrash,Death",nan,1
Season's Holocaust,Brazil,Death,nan,1
The Past,Brazil,"Heavy,Doom",2002,5
SektenfÃ¼hrer,France,Black,nan,3
Pluie Noire,France,Black,nan,3
Forever Times,Netherlands,Progressive,1994,3
Deluge Master,Brazil,Heavy,2002,1
Witticism,Germany,"Death,Black",2004,1
Svartjord,Germany,Black,2005,3
Brutal Agony,Chile,"Grindcore,Death",2004,3
Vortech,Finland,"Thrash,Heavy,Industrial,Progressive",2005,1
Exchased,Germany,"Gothic,Progressive",1996,3
Begrim,Finland,"Melodic,Industrial,Death",1998,3
Ve,Norway,Black,2004,4
Rezet,Germany,Thrash,2004,1
The Very End,Germany,Groove,2004,1
A. R. Berdiales,Spain,Heavy,1995,3
Repulsa,Spain,Thrash,nan,3
Crynight,Spain,"Thrash,Death",2000,3
Immortal Slave,South Africa,Gothic,1989,3
Antira,Belgium,Black,2004,5
Skeletons,Hungary,Heavy,nan,3
Nocturnal Doom,Poland,"Death,Doom",1992,3
Gladenfold,Finland,"Melodic,Death,Power",2003,1
Enchanted Faeries,Canada,"Thrash,Grindcore,Death",nan,1
Sanctorum,United States,"Melodic,Thrash,Death,Doom",1997,3
Sacrificed,Greece,Heavy,2004,4
The Awakening,United States,Power,1991,3
Reign,United States,Power,1996,3
Abstract Satan,Russia,Black,2004,4
Vaande,Norway,Black,2005,2
The Deviant,Norway,"Death,Black",2003,4
Everything Falls Dark,United States,"Metalcore,Death,Black",2002,3
Desecrate,Spain,Death,1991,3
Mictlan,Mexico,"Pagan,Black,Ambient",2005,1
Old Man Gloom,United States,"Sludge,Noise,Ambient",1999,1
Roots of Torment,Philippines,"Grindcore,Death",2004,1
Hatjan,France,Black,nan,1
Taifa,Spain,"Heavy,Progressive",1998,1
Dark Fortress,Germany,"Melodic,Heavy",1998,3
Nattemork,Italy,Black,2004,4
Hate Rising,Chile,Black,2003,1
Ohron,France,"Black,Pagan",nan,4
Maiden Voyage,United Kingdom,"Funeral,Doom",2005,1
Exiled,France,Death,2002,3
Hargonath,Brazil,Black,2002,3
Nucleon,Czech Republic,Heavy,2002,1
Hellirion,Czech Republic,"Heavy,Power",2003,4
Catheter,Hungary,Thrash,1996,3
WaklevÃ¶ren,Norway,Thrash,2002,1
Araneum,Finland,"Melodic,Death",2003,4
Angel War,Germany,Heavy,nan,3
Dissident Aggressor,Italy,Thrash,2000,3
DigerdÃ¶d,Sweden,"Death,Black",2005,3
Guilty of Reason,France,"Heavy,Thrash,Hardcore,Death",2004,1
Aryanas,Canada,Black,2005,3
Ending Story,Germany,"Metalcore,Death",2001,4
Orion,Belarus,"Heavy,Thrash",1997,5
Rusted Chains,Germany,"Melodic,Metalcore,Death",2003,4
Inquisition Pyre,Belarus,Black,2002,3
Zerofour,Austria,"Thrash,Groove",2004,3
Eyegouger,United States,"Grindcore,Death",1988,1
Megalomania 999,Denmark,Groove,1992,3
Tenebrosity,Chile,Black,2003,3
Arterial Pressure,Spain,Thrash,2004,3
Brutalization,Brazil,"Thrash,Death",1997,4
In Tears Bereaved,Austria,"Melodic,Thrash,Death,Gothic",2004,1
Aimless,Austria,"Melodic,Death",2000,3
Venomous Desire,Switzerland,"Symphonic,Black",2004,3
If Fire Would Fall,United Kingdom,"Heavy,Thrash",2004,3
Scab Picker,United States,"Grindcore,Death,Brutal",1996,1
Abyss,Chile,Thrash,1997,1
Hammers,Germany,Heavy,1984,3
ShÃ¡ghrÃ¡dh,Belgium,Black,1997,3
Buddha!,Serbia,Doom,nan,3
Praslovan,Slovenia,Black,nan,3
Remasculate,Sweden,"Grindcore,Death",2004,3
Harmony Fault,Brazil,"Goregrind,Death,Brutal",2002,1
Perisynti,Finland,Black,2005,1
AEIOU,Russia,Black,2005,4
Crocell,Italy,Black,2004,4
Ð¡ÐºÐ¾ÑÐ°Ñ ÐÐ¾Ð¼Ð¾ÑÑ,Russia,Heavy,1980,3
Deviant,Romania,Death,2004,3
Groke's Clan,Finland,"Melodic,Thrash,Death",2001,1
Disfigured,United States,Death,2003,2
Ragnarok,Spain,"Black,Pagan",1994,3
Doomsday,Spain,"Thrash,Death",1989,3
Chaos Incarnate,United States,"Thrash,Death",2004,1
Chaos Regal,Singapore,Death,2000,1
Carnal Decimate,United States,"Death,Brutal",1994,3
Equilibrium,United Kingdom,Heavy,2001,3
Veles,Poland,"Black,Pagan",nan,5
Croup,Spain,Death,1993,3
Desaster Area,Germany,Thrash,1985,3
Inzest,Japan,"Thrash,Crossover",1987,3
Lion,United States,"Heavy,Hard,Rock",1985,3
Witness,Hungary,Thrash,1994,5
Anatomical Necropsy,Russia,"Grindcore,Death",2004,1
Corporal Raid,Italy,"Grindcore,Death",2001,1
Horda,Hungary,"Thrash,Groove",nan,1
Zinc Alloy,Japan,Heavy,1982,3
Life,United States,Death,nan,3
Iota Draconis,United Kingdom,"Funeral,Doom",2005,1
Looking for an Answer,Spain,"Grindcore,Death",1999,1
Exit,Hungary,Heavy,nan,3
The Dead,Australia,Death,2005,1
The Burning,Australia,Thrash,2005,3
Meredion,Finland,"Power,Progressive",2004,3
Everwicked,United Kingdom,Power,2005,1
Outlaw,United Kingdom,"Thrash,Heavy",2002,4
Azariath,Malaysia,Black,nan,3
Barbalans,Malaysia,Black,1993,1
Mentally Murdered,Malaysia,Death,1992,1
Scars of Suffering,United States,Death,2005,3
Vulvark,Germany,Black,2004,1
Fear's Dawn,France,"Melodic,Death",2004,3
Dying Wish,France,"Melodic,Death",1998,1
Whisper-X,France,"Thrash,Death",2003,5
Distrust,Malaysia,"Death,Brutal",1999,3
Mortuary Ancestor,Malaysia,Death,1994,1
Fahrenheit,France,Heavy,1991,5
Hormigon,Spain,Death,1992,1
Dreaded,Malaysia,Death,nan,4
Corner,Finland,Heavy,1999,1
Cunt Face,France,"Grindcore,Death",nan,3
Exceed,Malaysia,Progressive,2001,4
In Torment,Spain,Doom,1992,3
Foetal Carnage,Malaysia,"Death,Brutal",1999,3
Neurosis,Malaysia,"Grindcore,Death,Brutal",1995,4
Sakramoth,Malaysia,"Death,Black",1998,4
Carnacain,United States,"Death,Brutal",2002,4
Daggerfalls,Canada,"Melodic,Death",2000,4
Symmetry,Italy,Power,1997,5
Relentless Attrition,New Zealand,"Death,Brutal",2005,3
Maelstrom,Spain,Death,1990,3
Last Dream,Spain,Doom,1989,3
Solder,Chile,Heavy,nan,1
Alias Mangler,United States,Heavy,nan,3
Unhallowed,Spain,Death,1991,3
Odeon,Germany,Black,2004,1
Infernal Legion,Hungary,"Death,Black",1998,5
Bruma,Chile,"Thrash,Black",1998,1
Nasca,Hungary,Thrash,2002,4
Insanity,Philippines,"Thrash,Death",2004,3
Berlyn,United Kingdom,NWOBHM,1979,3
Vision Tongue,United States,"Heavy,Progressive",2003,3
Sojourner,United States,Thrash,2003,4
CoraÃ§Ã£o Blindado,Brazil,Heavy,1999,4
Maleventy,Brazil,Death,2004,3
Ingested,United Kingdom,"Death,Deathcore,Brutal",2006,1
Demaculate,United States,Metalcore,1999,3
Tracer,United States,Heavy,nan,3
Ten Rail Cell,Greece,"Thrash,Death",1999,1
Hallion,United Kingdom,Heavy,2002,1
LeVeaux,United Kingdom,"Thrash,Heavy",2004,3
The Eyes,Spain,"Melodic,Metalcore,Death",2004,3
Solitude,United Kingdom,"Thrash,Death",2003,4
Self Made Man,United Kingdom,Thrash,2004,3
Vizulize This,United Kingdom,"Thrash,Death",2002,3
Spitfire,Spain,"Heavy,Thrash",2005,4
Splatterreah,United States,"Grindcore,Death",1988,1
Enemy of Thought,United Kingdom,"Heavy,Hard,Rock",2004,1
Wicked Rich,United Kingdom,Power,nan,3
Kraden,Germany,Black,2003,1
Ipalnemoani,Mexico,Black,2004,3
Schwedentrunk,Germany,Death,2002,3
Frimost,Mexico,Death,1995,1
Encyclia,Germany,Thrash,1998,3
Frimost,United Kingdom,Black,1997,3
Daementia,Argentina,"Melodic,Black",2004,4
Pacta Demonearoum,Mexico,Black,2002,1
RegresiÃ³n,Spain,Heavy,1995,1
Decrepity,Canada,"Grindcore,Death,Brutal",2005,3
Blasphemous Degeneration,Poland,"Grindcore,Death",1991,3
Night Spawn,Sweden,Thrash,2004,4
Absinthe,France,"Thrash,Death",2002,3
Morbid Blood,Uruguay,Death,1990,3
Corpses,Uruguay,"Grindcore,Death",nan,3
Land of Frost,France,"Melodic,Black,Gothic",nan,4
Overthrow,Argentina,Death,1991,3
Christ's Flesh,Poland,"Death,Doom",1991,3
Cenotaph,Poland,Death,1992,3
Varya,Poland,Heavy,2004,1
Crusade,Poland,Death,1991,3
