ime,drz,zvrst,leto,status
Cryptopsy,Canada,"Brutal/Technical Death Metal, Deathcore (2008)",1992,Active
Armageddon,Sweden,"Melodic Death Metal (early), Power Metal (mid), Death Metal (later)",1997,Active
Acid Bath,United States,Sludge/Doom Metal,1991,Split-up
Quo Vadis,Canada,Technical Melodic Death Metal,1993,Unknown
Meshuggah,Sweden,"Technical Groove/Thrash Metal (early), Djent (later)",1987,Active
Children of Bodom,Finland,Melodic Death/Power Metal,1997,Active
Cradle of Filth,United Kingdom,"Death Metal (early), Symphonic Black Metal (mid), Extreme Gothic Metal (later)",1991,Active
Iron Maiden,United Kingdom,"Heavy Metal, NWOBHM",1975,Active
Soilwork,Sweden,"Melodic Death Metal (early), Metalcore/Melodic Groove Metal (later)",1996,Active
Andromeda,Sweden,Progressive Metal,1999,Active
Ancient Rites,Belgium,"Black Metal, Folk/Viking Metal",1988,Active
Summoning,Austria,Epic/Atmospheric Black Metal,1993,Active
Emperor,Norway,Black Metal,1991,Active
Samael,Switzerland,"Black Metal (early), Electronic/Industrial Metal (later)",1987,Active
Rhapsody of Fire,Italy,Symphonic Power Metal,1995,Active
Excelsis,Switzerland,Folk/Power Metal,1996,Active
Candlemass,Sweden,Epic Doom Metal,1984,Active
Saint Vitus,United States,Doom Metal,1981,Active
Dark Avenger,Brazil,Power Metal,1993,Active
Dream Theater,United States,Progressive Metal,1988,Active
Opeth,Sweden,"Progressive Death Metal, Progressive Rock",1990,Active
Nightwish,Finland,Symphonic Power Metal,1996,Active
Defender,Sweden,Heavy/Power Metal,1999,Split-up
Absu,United States,"Death Metal (early), Black/Thrash Metal (later)",1991,Active
Alchemist,Australia,Avant-garde/Progressive Death Metal,1987,Split-up
At the Gates,Sweden,Melodic Death Metal,1990,Active
Nevermore,United States,"Power/Thrash Metal (early), Groove/Progressive Metal (later)",1992,On hold
Dying Fetus,United States,Brutal Death Metal/Grindcore,1991,Active
Strapping Young Lad,Canada,Death/Thrash Metal with Industrial Influences,1994,Split-up
Hammers of Misfortune,United States,Progressive Metal,2000,Active
Metalucifer,Japan,Heavy/Speed Metal,1995,Active
Destiny's End,United States,Heavy/Power Metal,1997,Split-up
Solefald,Norway,Post-Black Metal/Avant-garde,1995,Active
Sigh,Japan,Black/Avant-garde Metal,1990,Active
Borislav Mitic,Serbia,"Neoclassical Power Metal, Shred",1992,Active
Skyclad,United Kingdom,Folk Metal,1990,Active
Lamb of God,United States,Groove Metal/Metalcore,1999,Active
Neurosis,United States,"Hardcore Punk (early), Progressive Sludge Metal/Post-Hardcore/Tribal/Ambient (later)",1985,Active
Moonspell,Portugal,"Black Metal (early), Gothic Metal (later)",1992,Active
Omni Mortuus,United States,Black/Gothic Metal,2001,Split-up
Haggard,Germany,"Progressive Death Metal (early), Classical/Orchestral/Symphonic Metal (later)",1989,Active
Dragonlord,United States,Symphonic Black/Thrash Metal,2000,Active
Solstice of Suffering,United States,Black/Death Metal,1998,Split-up
Zyklon,Norway,Industrial Death/Black Metal,1998,Split-up
Mayhem,Norway,Black Metal,1984,Active
Morbid Angel,United States,Death Metal,1983,Active
Dimmu Borgir,Norway,Symphonic Black Metal,1993,Active
Testament,United States,Thrash Metal,1986,Active
Down,United States,Southern Metal,1991,Active
Slayer,United States,Thrash Metal,1981,Active
Burnt by the Sun,United States,Metalcore with Grindcore influences,1999,Split-up
Falconer,Sweden,Folk/Power Metal,1999,Active
Immortal,Norway,Black Metal,1991,Active
Soilent Green,United States,Sludge/Death Metal/Grindcore,1988,Active
Pantera,United States,"Glam/Heavy Metal (early), Groove Metal (later)",1981,Split-up
Sepultura,Brazil,"Death/Thrash Metal (early), Groove/Thrash Metal, Nu-Metal (later)",1984,Active
Origin,United States,Technical Brutal Death Metal,1997,Active
Otyg,Sweden,Folk Metal,1995,Active
Mortiis,Norway,"Ambient/Darkwave (early), Industrial Rock (later)",1992,Active
Anacrusis,United States,"Thrash Metal (1986-1990), Progressive Metal (1991-1993)",1986,Split-up
Manowar,United States,Heavy/Power Metal,1980,Active
Yngwie J. Malmsteen,Sweden,Neoclassical Power Metal/Shred,1978,Active
The Haunted,Sweden,Melodic Death/Groove Metal,1996,Active
Cruachan,Ireland,Celtic Folk/Black Metal,1992,Active
Waylander,United Kingdom,Celtic Folk Metal,1993,Active
Burzum,Norway,"Black Metal, Ambient",1991,Active
Moonsorrow,Finland,Folk/Pagan/Black Metal,1995,Active
Fatima Hill,Japan,"Progressive Power Metal, Avant-garde",1992,On hold
Cynic,United States,"Thrash Metal (early), Progressive Death Metal/Fusion (1991-1993, 2008), Progressive Rock (later)",1987,Disputed
The Kovenant,Norway,Electronic/Industrial Metal,1999,Active
Virgin Black,Australia,Doom/Gothic/Symphonic Metal,1995,On hold
Therion,Sweden,"Death Metal (early), Symphonic/Operatic Metal (later)",1988,Active
Finntroll,Finland,Folk Metal,1997,Active
Hypocrisy,Sweden,"Death Metal (early), Melodic Death Metal (later)",1990,Active
Judas Priest,United Kingdom,Heavy Metal,1970,Active
Halford,United Kingdom,Heavy Metal,1992,Active
Black Sabbath,United Kingdom,Heavy/Doom Metal,1969,Active
Diablerie,Finland,Industrial/Electronic Metal,1999,Active
Tristania,Norway,Symphonic/Gothic Metal,1996,Active
Grey Skies Fallen,United States,Melodic Death/Progressive Metal,1997,Active
Green Carnation,Norway,"Death Metal (1990-1991), Gothic/Progressive Metal/Rock (later)",1990,Active
Enslaved,Norway,Progressive Black/Viking Metal,1991,Active
Virgin Steele,United States,"Heavy Metal/Hard Rock (early), Heavy/Power Metal (later)",1981,Active
Edge of Sanity,Sweden,Progressive Death Metal,1989,Split-up
Rampage,United States,Various,1989,On hold
Rainbow,United Kingdom,Hard Rock/Heavy Metal,1975,Active
Megiddo,Canada,Black Metal,1998,Active
S.A. Slayer,United States,Power Metal,1982,Split-up
Julie Laughs Nomore,Sweden,Melodic Death Metal,1995,On hold
Heavy Load,Sweden,Heavy/Power Metal,1976,Split-up
Decapitated,Poland,"Technical Death Metal (early), Death/Groove Metal (later)",1996,Active
Voivod,Canada,"Thrash Metal (1982-87), Progressive Metal (1988-)",1981,Active
Sabbat,United Kingdom,Thrash Metal,1985,Split-up
Coroner,Switzerland,Technical Thrash Metal,1983,Active
Spirit Web,United States,Power Metal,1998,Split-up
Suffocation,United States,Brutal/Technical Death Metal,1988,Active
Sacred Reich,United States,Thrash Metal,1985,Active
Nuclear Assault,United States,Thrash Metal,1984,Active
Dismember,Sweden,Death Metal,1988,Split-up
Acheron,United States,Death/Black Metal,1988,On hold
Lacuna Coil,Italy,"Gothic Metal/Rock (early), Alternative Rock (later)",1997,Active
Metallica,United States,"Thrash Metal (early), Hard Rock/Heavy/Thrash Metal (later)",1981,Active
Dark Angel,United States,Thrash Metal,1983,Active
Countess,Netherlands,Black Metal,1992,Active
Venom,United Kingdom,NWOBHM/Black/Speed Metal,1979,Active
Stormlord,Italy,"Death Metal (early), Symphonic Black/Power Metal (later)",1991,Active
Sword,Canada,Heavy Metal,1980,Active
Hate Eternal,United States,Death Metal,1997,Active
The Crown,Sweden,Melodic Death/Thrash Metal,1998,Active
Deliverance,United Kingdom,Heavy/Speed Metal,1986,Split-up
Dark Lunacy,Italy,Symphonic/Melodic Death Metal,1997,Active
Defleshed,Sweden,Thrash/Death Metal,1991,Split-up
Havayoth,Sweden,Gothic Metal,2000,On hold
Hallows Eve,United States,Thrash/Speed Metal,1983,Active
Megadeth,United States,"Speed/Thrash Metal, Heavy Metal/Rock (1990s)",1983,Active
Nile,United States,Brutal/Technical Death Metal,1993,Active
Annihilator,Canada,"Technical Speed/Thrash Metal (early), Groove/Thrash Metal (later)",1984,Active
Death,United States,"Death Metal (early), Death/Progressive Metal (later)",1984,Split-up
Helstar,United States,Power/Speed Metal,1981,Active
Exhumed,United States,Death Metal/Grindcore,1990,Active
Vader,Poland,Death/Thrash Metal,1983,Active
Darkthrone,Norway,"Death Metal (early), Black Metal (mid), Black/Heavy/Speed Metal (later)",1987,Active
Carpathian Forest,Norway,Black Metal,1992,Split-up
Deicide,United States,Death Metal,1989,Active
Amon Amarth,Sweden,Melodic Death Metal,1992,Active
My Dying Bride,United Kingdom,"Doom/Death Metal (early), Gothic/Doom Metal (later)",1990,Active
Nocturnus,United States,Death Metal,1987,Split-up
Sacred Steel,Germany,Epic Power Metal,1997,Active
Grip Inc.,United States,Groove Metal,1993,Split-up
Destruction,Germany,Thrash Metal,1982,Active
Wizard,Germany,Epic Power Metal,1989,Active
Kreator,Germany,Thrash Metal,1984,Active
Demons & Wizards,United States,Power Metal,1997,On hold
Helloween,Germany,Power/Speed Metal,1983,Active
Valhalla,Austria,Epic Power/Speed Metal,1998,Split-up
Insision,Sweden,Brutal Death Metal,1997,Active
Sentenced,Finland,"Death Metal (early), Melodic Death Metal (mid), Gothic Metal (later)",1989,Split-up
Dio,United States,Heavy Metal,1982,Split-up
Theatre of Tragedy,Norway,"Gothic/Doom/Death Metal (early), Industrial/Electronica, Gothic Metal/Rock (later)",1993,Split-up
Obituary,United States,Death Metal,1988,Active
Kamelot,United States,Progressive/Melodic Power Metal,1991,Active
Macabre,United States,Thrash/Death Metal/Grindcore,1984,Active
Overkill,United States,"Thrash Metal, Thrash/Groove Metal",1980,Active
Anthrax,United States,"Speed/Thrash Metal, Groove Metal",1981,Active
Edguy,Germany,Power Metal,1992,Active
Dungeon,Australia,Power Metal,1989,Split-up
Symphony X,United States,Progressive Power Metal,1994,Active
Exodus,United States,Thrash Metal,1979,Active
Pungent Stench,Austria,Death Metal,1988,Disputed
Malevolent Creation,United States,Death Metal,1987,Active
Blood Duster,Australia,"Death Metal/Grindcore (early), GrindÂ 'n'Â Roll (later)",1991,Active
Theory in Practice,Sweden,Technical Death Metal,1995,Active
Death Angel,United States,Thrash Metal,1982,Active
Vanishing Point,Australia,Melodic/Progressive Metal,1995,Active
Mercyful Fate,Denmark,Heavy Metal,1981,On hold
Dissection,Sweden,"Melodic Black Metal, Melodic Death Metal",1989,Split-up
Bathory,Sweden,"Black/Viking Metal, Thrash Metal",1983,Split-up
Hollenthon,Austria,Symphonic/Folk/Melodic Death Metal,1999,Unknown
Cannibal Corpse,United States,Death Metal,1988,Active
Psycroptic,Australia,Technical Death Metal,1999,Active
Omnium Gatherum,Australia,Death Metal/Grindcore,1997,Changed name
Fear Factory,United States,"Industrial/Death Metal (early), Groove/Industrial Metal (later)",1990,Active
Stormtroopers of Death,United States,Hardcore/Crossover/Thrash Metal,1985,Split-up
Paradise Lost,United Kingdom,"Doom/Death Metal (early), Gothic Rock/Metal (later)",1988,Active
Sonata Arctica,Finland,Power Metal,1999,Active
Savatage,United States,"Heavy/Power Metal, Progressive Metal/Rock",1983,Active
Immolation,United States,Death Metal,1988,Active
Ozzy Osbourne,United Kingdom,Heavy Metal,1980,Active
Pegazus,Australia,Heavy/Power Metal,1993,Active
Krisiun,Brazil,Death Metal,1990,Active
Accept,Germany,Heavy Metal,1976,Active
Disincarnate,United States,Death Metal,1992,Active
Hypnosia,Sweden,Thrash Metal,1995,Split-up
HammerFall,Sweden,Heavy/Power Metal,1993,Active
Taetre,Sweden,Melodic Death/Thrash Metal,1993,Split-up
MotÃ¶rhead,United Kingdom,"Heavy Metal, Hard Rock",1975,Split-up
Spawn of Possession,Sweden,Technical Death Metal,1997,Active
King's-Evil,Japan,Thrash Metal,1989,Active
Severed Savior,United States,Technical Brutal Death Metal,1999,Active
Necrophagist,Germany,Technical Death Metal,1992,Unknown
ÐÐ°ÑÑÐµÑ,Russia,Thrash Metal,1987,Active
Aura Noir,Norway,Black/Thrash Metal,1993,Active
Visceral Bleeding,Sweden,Technical/Brutal Death Metal,1999,Active
Iniquity,Denmark,Technical Death Metal,1989,Active
Gorgasm,United States,Brutal Death Metal,1994,Active
Aborted,Belgium,Death Metal,1995,Active
Reprobation,United States,Brutal Death Metal,1993,Split-up
Angel Dust,Germany,"Speed/Thrash Metal (early), Melodic Power Metal (later)",1984,Active
Stratovarius,Finland,Melodic Power Metal,1985,Active
Mortal Decay,United States,Death Metal,1991,Active
Witchery,Sweden,Blackened Thrash/Speed Metal,1997,Active
Napalm Death,United Kingdom,"Hardcore Punk (early), Grindcore/Death Metal (later)",1981,Active
Gamma Ray,Germany,Power/Speed Metal,1989,Active
Incestuous,United States,Brutal Death Metal,1998,Changed name
DestrÃ¶yer 666,Australia,Black/Thrash Metal,1994,Active
Ablaze My Sorrow,Sweden,Melodic Death Metal,1993,Active
Opprobrium,United States,Death/Thrash Metal,1999,Active
Vintersorg,Sweden,"Viking/Folk Metal, Progressive Metal",1994,Active
ZnÃ¶white,United States,Speed/Thrash Metal,1982,Split-up
Requiem,Finland,Power Metal,1999,Split-up
...and Oceans,Finland,"Symphonic Black Metal (early), Industrial/Electronic Metal (later)",1995,Changed name
Onward,United States,Heavy/Power Metal,2000,Split-up
Bloodbath,Sweden,Death Metal,1998,Active
Bolt Thrower,United Kingdom,Death Metal,1986,Split-up
Crowbar,United States,Sludge Metal,1990,Active
Diabolical Masquerade,Sweden,Avant-garde Atmospheric Black Metal,1993,Split-up
Tearstained,United States,Black Metal,1995,Active
Pestilence,Netherlands,"Thrash Metal (1986-1988), Death Metal (1989-1991, 2008-), Progressive Death Metal/Jazz Fusion (1993)",1986,Active
Disavowed,Netherlands,Brutal Death Metal,2000,Active
Severe Torture,Netherlands,Death Metal,1997,Active
Brodequin,United States,Brutal Death Metal,1998,Active
God Dethroned,Netherlands,Blackened Death Metal,1991,Active
Dimension Zero,Sweden,Melodic Death/Thrash Metal,1995,Active
Witchburner,Germany,Thrash Metal,1992,Active
Black Label Society,United States,Southern/Groove Metal,1998,Active
Corrosion of Conformity,United States,Crossover/Sludge/Southern Metal,1982,Active
Carnal Forge,Sweden,Death/Thrash Metal,1997,Active
Overdose,Brazil,"Power/Thrash, Groove Metal",1983,Split-up
Artillery,Denmark,Thrash Metal,1982,Active
Demilich,Finland,Technical Death Metal,1990,Active
Raise Hell,Sweden,Black/Thrash Metal,1997,Active
Altar,Netherlands,Death Metal,1990,Active
Imagika,United States,Power/Thrash Metal,1993,Split-up
Breaker,United States,Heavy Metal,1982,Active
King Diamond,Denmark,Heavy Metal,1985,Active
Solitude Aeturnus,United States,Epic Doom Metal,1988,Active
Ripper,United States,Heavy Metal,1977,Active
Krabathor,Czech Republic,"Death/Thrash Metal (early), Death Metal (later)",1984,Active
Thor,Canada,"Heavy/Power Metal, Hard Rock",1977,Active
Nocturnal Rites,Sweden,"Death Metal (early), Power Metal (later)",1990,Unknown
Wizzard,Finland,Blackened Heavy Metal,1995,Unknown
Galgeras,Netherlands,Black Metal,1999,Active
Behemoth,Poland,"Black Metal (early), Black/Death Metal (later)",1991,Active
Warlord,United States,Heavy/Power Metal,1980,Active
Miasma,Austria,Death Metal,1990,Split-up
rehtaF ruO,United States,Black Metal,1997,Active
Scanner,Germany,Heavy/Power Metal,1986,Active
Pentagram,Turkey,"Thrash Metal (early), Heavy/Middle Eastern Folk Metal (later)",1987,Active
Celtic Frost,Switzerland,"Thrash/Death/Black Metal (early), Gothic/Doom Metal (later)",1984,Split-up
Grand Belial's Key,United States,Black Metal,1992,Active
Paradox,Germany,Power/Thrash/Speed Metal,1986,Active
ÐÑÐ¸Ñ,Russia,Heavy  Metal,1985,Active
Disciples of Power,Canada,Thrash/Death Metal,1987,Active
Hatework,Italy,Thrash Metal,1996,Split-up
Unida,United States,Stoner Metal,1998,Active
Abhorrent,Brazil,Thrash/Groove Metal,1988,Split-up
Desaster,Germany,Black/Thrash Metal,1988,Active
Melissa,Russia,"Death Metal, Death 'n' Roll",1992,Active
Armored Saint,United States,Heavy Metal,1982,Active
Massacre,United States,Death Metal,1984,Split-up
Corrosion,Paraguay,Thrash/Heavy Metal,1992,Active
Alas,United States,Operatic Progressive Metal,1995,Unknown
Liege Lord,United States,Power/Speed Metal,1984,Active
Autopsy,United States,Death Metal,1987,Active
Danzig,United States,Heavy Metal with Doom Metal/Rock influences,1987,Active
Hellhammer,Switzerland,Speed/Thrash/Black Metal,1982,Split-up
Novembers Doom,United States,Death/Doom Metal,1992,Active
Apollyon Sun,Switzerland,Industrial Metal,1995,Split-up
FortÃ©,United States,Power/Thrash Metal,1987,Active
Evoken,United States,Funeral Doom/Death Metal,1994,Active
Arcturus,Norway,"Atmospheric Black Metal (early), Avant-garde Progressive Metal (later)",1991,Active
Thanatos,Netherlands,Death/Thrash Metal,1984,Active
Beyond Twilight,Denmark,Progressive Metal,1996,Split-up
Bruce Dickinson,United Kingdom,"Rock (early), Heavy Metal (later)",1989,On hold
Slough Feg,United States,Heavy Metal,1990,Active
Majesty,Germany,Heavy/Power Metal,1997,Active
P.I.T.T.,South Africa,Thrash/Death Metal,1996,Split-up
Witchfinder General,United Kingdom,"NWOBHM, Doom Metal",1979,Unknown
Crystal Castle,Canada,Power Metal,1999,Active
Unexpect,Canada,Avant-garde/Progressive Metal,1996,Split-up
Obscenity,Germany,Death Metal,1989,Active
Atheist,United States,Death/Thrash Metal with Jazz and Progressive Influences,1988,Active
Agalloch,United States,"Atmospheric Folk/Doom Metal, Post-Rock/Metal",1995,Split-up
Running Wild,Germany,Heavy/Power/Speed Metal,1979,Active
Einherjer,Norway,Viking Metal,1993,Active
Wrathchild America,United States,"Thrash Metal, Heavy Metal",1988,Changed name
Whiplash,United States,Speed/Thrash Metal,1984,Active
Defiance,United States,Thrash Metal,1985,Split-up
Winter,United States,Death/Doom Metal,1988,Active
Brainstorm,Germany,Power Metal,1989,Active
Rotting Christ,Greece,"Grindcore, Black Metal (early), Gothic Metal (mid), Extreme Metal (later)",1987,Active
Razor,Canada,Speed/Thrash Metal,1983,Active
ÐÐµÐ³Ð¸Ð¾Ð½,Russia,Melodic Power/Heavy Metal,1979,Active
Steel Prophet,United States,Power Metal,1983,Active
Prostitute Disfigurement,Netherlands,Brutal Death Metal,2001,Active
Vomitory,Sweden,Death Metal,1989,Split-up
Impellitteri,United States,Heavy Metal/Shred,1987,Active
Rob Rock,United States,Heavy/Power Metal,2000,Active
Vomit Remnants,Japan,Brutal Death Metal,1997,Active
Radigost,Russia,Melodic Black/Doom Metal,1996,On hold
Ossuary,Belarus,Brutal Death Metal,1996,Active
Malamor,United States,Death Metal,1993,Active
Disgorge,United States,Brutal Death Metal,1992,Active
Aeon,Sweden,Death Metal,1999,Active
Beheaded,Malta,Brutal Death Metal,1991,Active
Iron Savior,Germany,Speed/Power Metal,1996,Active
Eucharist,Sweden,Melodic Death Metal,1989,Active
Avantasia,Germany,Symphonic Power Metal,2000,Active
Ensiferum,Finland,Epic Folk Metal,1995,Active
Eternal Tears of Sorrow,Finland,"Thrash Metal (early), Melodic/Symphonic Death Metal (later)",1994,Active
Exhorder,United States,Thrash/Groove Metal,1985,Unknown
Machine Head,United States,"Groove/Thrash Metal, Nu-Metal",1992,Active
Thyrfing,Sweden,Viking/Black Metal,1995,Active
Pan.Thy.Monium,Sweden,Progressive/Avant-garde Death Metal,1990,Split-up
Morgion,United States,Death/Doom Metal,1990,Split-up
QueensrÃ¿che,United States,Heavy/Power/Progressive Metal,1982,Active
Satyricon,Norway,Black Metal,1991,Active
U.D.O.,Germany,Heavy Metal,1987,Active
Sanctuary,United States,"Heavy/Power Metal (early), Groove/Progressive Metal (later)",1985,Active
Impaled Nazarene,Finland,Black Metal,1990,Active
Gemisuadi,United States,Brutal Death Metal,2000,Split-up
Soils of Fate,Sweden,Brutal Death Metal,1995,Active
Sect of Execration,United States,Brutal Death Metal,1999,Active
Beherit,Finland,"Black Metal, Dark Ambient (1994-1996)",1989,Active
Saprogenic,United States,Brutal Death Metal,2001,Active
Mortician,United States,Brutal Death Metal/Grindcore,1989,Active
Agony,Sweden,Thrash Metal,1984,Split-up
Conspirator,Germany,Heavy/Doom/Thrash Metal,1993,Split-up
Esoteric,United Kingdom,Funeral Doom/Death Metal,1992,Active
Violent Hate,Brazil,Death Metal,1990,Active
Cinerary,United States,Brutal Death Metal,2000,Active
Disastrous Murmur,Austria,Death Metal,1988,Active
Unleashed,Sweden,Death Metal,1989,Active
Windir,Norway,Black/Folk/Viking Metal,1994,Split-up
Old Man's Child,Norway,Melodic Black Metal,1993,Unknown
Pyrexia,United States,"Brutal Death Metal (early), Death/Groove Metal (later)",1990,Active
Mithotyn,Sweden,Viking/Black Metal,1993,Split-up
Paragon,Germany,Power/Speed Metal,1990,Active
Diktat,France,Brutal Death Metal,1997,Active
Diabolical,Sweden,Death/Thrash Metal,1998,Active
Toranaga,United Kingdom,Thrash Metal,1985,Active
D.A.M.,United Kingdom,Thrash Metal,1986,Active
Taake,Norway,Black Metal,1995,Active
Metal Church,United States,Heavy/Power/Thrash Metal,1980,Active
Regurgitate,Sweden,Goregrind,1990,Split-up
Vio-lence,United States,Thrash Metal,1985,Split-up
Forbidden,United States,Thrash Metal,1987,On hold
The Sins of Thy Beloved,Norway,Symphonic Gothic/Doom Metal,1996,Split-up
Slaughter,Canada,Death/Thrash Metal,1984,Split-up
Lost Horizon,Sweden,Power Metal,1998,On hold
Heathen,United States,Technical Speed/Thrash Metal,1984,Active
Manilla Road,United States,Epic Heavy/Power Metal,1977,Active
Conception,Norway,Progressive/Power Metal,1989,Split-up
Crimson Glory,United States,Progressive Heavy/Power Metal,1983,Unknown
Ildjarn,Norway,Black Metal/Ambient,1991,Split-up
Absurd,Germany,Black Metal with RAC/Heavy Metal influences,1992,Active
Philadelphia,United States,Heavy Metal,1981,Active
Swastyka,Poland,Black Metal,1998,Changed name
Marduk,Sweden,Black Metal,1990,Active
Elvenking,Italy,Melodic Power/Folk Metal,1997,Active
Luca Turilli,Italy,Symphonic Power Metal,1999,Split-up
Liquid Tension Experiment,United States,Technical/Progressive Rock/Metal,1997,Unknown
Graveland,Poland,"Black Metal (early), Pagan/Viking Metal (later)",1991,Active
Grave Digger,Germany,"Speed Metal (early), Heavy/Power Metal (later)",1980,Active
In the Woods...,Norway,"Black Metal (early), Avant-garde/Progressive Rock/Metal (later)",1991,Active
Trouble,United States,"Doom Metal, Psychedelic/Stoner Metal (later)",1979,Active
Bifrost,Netherlands,Thrash Metal,1992,Split-up
Amon,Czech Republic,Black Metal,1989,Active
Digger,Germany,Heavy Metal,1986,Changed name
Alastor,Portugal,Black/Thrash Metal,1988,Active
Kyuss,United States,Stoner Rock/Metal,1991,Changed name
Primordial,Ireland,Celtic Folk/Black Metal,1993,Active
Diamond Head,United Kingdom,"NWOBHM (early), Hard Rock (later)",1976,Active
Abhorrence,Brazil,Brutal Death Metal,1997,Split-up
Malignancy,United States,Brutal Technical Death Metal,1992,Active
Montreal,Argentina,Heavy Metal,1994,Active
Profanity,Germany,Death Metal,1993,Active
Necrophagia,United States,Death Metal,1983,Active
Electric Wizard,United Kingdom,Doom/Stoner Metal,1993,Active
Heretic,Netherlands,"Black Metal (early), Black 'n' Roll (later)",1995,Active
Hateful Agony,Germany,Thrash Metal,1997,Active
The Chasm,Mexico,Death Metal,1992,Active
Sargatanas,Mexico,Black/Death Metal,1986,Active
Agathodaimon,Germany,"Symphonic Black Metal (early), Gothic/Black Metal (later)",1995,Split-up
Aisling,Italy,Melodic Black Metal,1998,Active
Callenish Circle,Netherlands,Melodic Death Metal,1992,Split-up
Brocas Helm,United States,Epic Heavy Metal,1982,Active
Bewitched,Chile,"Heavy/Doom/Black Metal, Ambient",1990,Split-up
Cage,United States,Heavy/Power Metal,1992,Active
Callahan,Poland,Death Metal with Gothic Influences,1996,Split-up
Sodom,Germany,"Black/Speed Metal (early), Thrash Metal (later)",1981,Active
Aurora Borealis,United States,Black/Death Metal,1994,Active
Crystal Eyes,Sweden,Power Metal,1992,Active
Repent,Germany,Thrash Metal,1992,Active
Cerebral Fix,United Kingdom,Crossover/Thrash Metal,1986,Active
Melechesh,Israel,Black/Death/Middle Eastern Folk Metal,1995,Active
Fight,United States,Thrash/Groove Metal,1992,Split-up
Scythe,Germany,Progressive Death Metal,1994,Split-up
Devil Lee Rot,Sweden,Blackened Heavy Metal (early)/Doom Metal (later),2001,Active
Thargos,Germany,Black/Thrash Metal,1995,Split-up
Absolute Steel,Norway,Heavy Metal,1999,Split-up
Pyaemia,Netherlands,Brutal Death Metal,1995,Split-up
Battlelore,Finland,Epic Symphonic Metal,1999,Active
Bestial Mockery,Sweden,Black/Thrash Metal,1995,Split-up
Fall of Empyrean,United States,Doom/Death Metal,2000,On hold
Midgard,United States,Melodic Death Metal,2000,Active
Order of Nine,United States,Power Metal,2001,Active
Spasme,Canada,Technical Death Metal,1994,Split-up
Obliveon,Canada,Technical Death/Thrash/Groove Metal,1987,Active
Paralysis,Netherlands,Technical Melodic Thrash Metal with Progressive elements,1986,Split-up
Nephasth,Brazil,Brutal Death Metal,1999,Split-up
ParamÃ¦cium,Australia,Death/Doom Metal,1990,Changed name
ÐÐ¾ÑÑÐ¾Ð·Ð¸Ñ ÐÐµÑÐ°Ð»Ð»Ð°,Russia,"Thrash/Speed Metal (early), Grindcore/Punk/Industrial (later)",1982,Active
Pentacle,Netherlands,Death Metal,1989,Active
Pentagram,United States,Doom Metal,1971,Active
Power Crue,Greece,Power Metal,1986,Active
Deepred,Finland,Brutal Death Metal,1999,Split-up
Powers Court,United States,Power Metal,N/A,Active
Prototype,United States,Progressive Metal,1994,Active
Psychosis,United States,Thrash Metal,1988,Active
Purgation,United States,Doom Metal,N/A,Active
Murder Corporation,Sweden,Brutal Death Metal,1995,Split-up
Pandemia,Czech Republic,Death Metal,1995,Active
Omen,United States,Power Metal,1983,Active
October 31,United States,Heavy Metal,1995,Active
Houwitser,Netherlands,Brutal Death Metal,1997,Active
Rain Fell Within,United States,Atmospheric/Melodic/Symphonic Metal,1996,Split-up
Runemagick,Sweden,"Death Metal (early), Death/Doom Metal (later)",1990,On hold
